number,image_url,name,position,dob,nationality,height,foot,joined,joined_from,contract,value,club_name
2,https://img.a.transfermarkt.technology/portrait/medium/294778-1605122075.jpg?lm=1,Sadegh Moharrami,Right-Back,"Mar 1, 1996",Iran,"1,74",right,"Jul 2, 2018",Persepolis FC,"Jun 30, 2025",2.00m,GNK Dinamo Zagreb
13,https://img.a.transfermarkt.technology/portrait/medium/104466-1548509634.jpg?lm=1,Stefan Ristovski,Right-Back,"Feb 12, 1992",North Macedonia,"1,80",right,"Feb 2, 2021",Sporting CP,"Jun 30, 2025",2.00m,GNK Dinamo Zagreb
27,https://img.a.transfermarkt.technology/portrait/medium/227035-1515140198.jpg?lm=1,Josip Misic,Defensive Midfield,"Jun 28, 1994",Croatia,"1,87",right,"Jul 1, 2021",Sporting CP,"Jun 30, 2026",3.50m,GNK Dinamo Zagreb
31,https://img.a.transfermarkt.technology/portrait/medium/491039-1662491864.jpg?lm=1,Marko Bulat,Defensive Midfield,"Sep 26, 2001",Croatia,"1,78",right,"Feb 11, 2021",HNK Sibenik,"Jun 30, 2027",2.50m,GNK Dinamo Zagreb
-,https://img.a.transfermarkt.technology/portrait/medium/502692-1676412807.jpg?lm=1,Fran Tomek,Defensive Midfield,"Jun 25, 2002",Croatia,,,"Jul 1, 2022",HNK Gorica,"Jun 30, 2028",300k,GNK Dinamo Zagreb
7,https://img.a.transfermarkt.technology/portrait/medium/387105-1605121267.jpg?lm=1,Luka Ivanusec,Attacking Midfield,"Nov 26, 1998",Croatia,"1,75",right,"Aug 19, 2019",NK Lokomotiva Zagreb,"Jun 15, 2026",10.00m,GNK Dinamo Zagreb
10,https://img.a.transfermarkt.technology/portrait/medium/580451-1659520072.jpg?lm=1,Martin Baturina,Attacking Midfield,"Feb 16, 2003",Croatia,"1,72",right,"Jul 1, 2021",GNK Dinamo Zagreb II,"Jun 15, 2028",6.50m,GNK Dinamo Zagreb
77,https://img.a.transfermarkt.technology/portrait/medium/403290-1601583952.jpg?lm=1,Dario Spikic,Left Winger,"Mar 22, 1999",Croatia,"1,83",right,"Feb 4, 2021",HNK Gorica,"Jun 30, 2027",3.00m,GNK Dinamo Zagreb
12,https://img.a.transfermarkt.technology/portrait/medium/292666-1600971580.jpg?lm=1,Petar Bockaj,Left Winger,"Jul 23, 1996",Croatia,"1,79",left,"Jan 18, 2022",NK Osijek,"Jan 18, 2027",2.50m,GNK Dinamo Zagreb
70,https://img.a.transfermarkt.technology/portrait/medium/316047-1605122508.jpg?lm=1,Luka Menalo,Left Winger,"Jul 22, 1996","Bosnia-Herzegovina, Croatia","1,81",right,"Jul 6, 2018",NK Siroki Brijeg,"Jun 15, 2026",2.00m,GNK Dinamo Zagreb
41,https://img.a.transfermarkt.technology/portrait/medium/743567-1660729829.jpg?lm=1,Gabrijel Rukavina,Left Winger,"Jan 16, 2004",Croatia,"1,80",right,"Jul 1, 2022",GNK Dinamo Zagreb II,"Jan 18, 2028",800k,GNK Dinamo Zagreb
-,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Fran Topic,Right Winger,"Mar 20, 2004",Croatia,,left,"Apr 3, 2023",GNK Dinamo Zagreb U19,"Jun 30, 2024",10k,GNK Dinamo Zagreb
9,https://img.a.transfermarkt.technology/portrait/medium/256358-1605121929.jpg?lm=1,Bruno Petkovic,Centre-Forward,"Sep 16, 1994",Croatia,"1,93",right,"Jan 21, 2019",Bologna FC 1909,"Jun 30, 2024",6.00m,GNK Dinamo Zagreb
18,https://img.a.transfermarkt.technology/portrait/medium/140579-1533288571.jpg?lm=1,Josip Drmic,Centre-Forward,"Aug 8, 1992","Switzerland, Croatia","1,84",right,"Jul 1, 2022",Norwich City,"Jun 30, 2024",3.00m,GNK Dinamo Zagreb
91,https://img.a.transfermarkt.technology/portrait/medium/46405-1662876130.jpg?lm=1,Lovre Kalinic,Goalkeeper,"Apr 3, 1990",Croatia,"2,01",left,"Jul 8, 2022",Aston Villa,"Jun 30, 2025",1.50m,HNK Hajduk Split
30,https://img.a.transfermarkt.technology/portrait/medium/632355-1662876100.jpg?lm=1,Karlo Sentic,Goalkeeper,"Jun 3, 2001",Croatia,"1,93",right,"Jul 1, 2021",HNK Hajduk Split II,"Jun 30, 2026",550k,HNK Hajduk Split
13,https://img.a.transfermarkt.technology/portrait/medium/164145-1674833327.jpg?lm=1,Ivan Lucic,Goalkeeper,"Mar 23, 1995","Austria, Croatia","1,94",right,"Jan 18, 2023",NK Istra 1961,"May 31, 2024",400k,HNK Hajduk Split
1,https://img.a.transfermarkt.technology/portrait/medium/27941-1662876077.jpg?lm=1,Danijel Subasic,Goalkeeper,"Oct 27, 1984",Croatia,"1,91",right,"Sep 22, 2021",Career break,"May 31, 2023",50k,HNK Hajduk Split
25,https://img.a.transfermarkt.technology/portrait/medium/358143-1662876407.jpg?lm=1,Chidozie Awaziem,Centre-Back,"Jan 1, 1997","Nigeria, Portugal","1,89",right,"Aug 2, 2022",Boavista FC,"Jun 30, 2023",5.00m,HNK Hajduk Split
4,https://img.a.transfermarkt.technology/portrait/medium/294321-1676842363.jpg?lm=1,Ferro,Centre-Back,"Mar 26, 1997",Portugal,"1,91",right,"Feb 15, 2023",SL Benfica,"May 31, 2026",2.50m,HNK Hajduk Split
5,https://img.a.transfermarkt.technology/portrait/medium/396342-1662876398.jpg?lm=1,Toni Borevkovic,Centre-Back,"Jun 18, 1997",Croatia,"1,93",right,"Jul 1, 2022",Vitória Guimarães SC,"Jun 30, 2023",2.00m,HNK Hajduk Split
19,https://img.a.transfermarkt.technology/portrait/medium/179895-1662876388.jpg?lm=1,Josip Elez,Centre-Back,"Apr 25, 1994",Croatia,"1,89",right,"Jul 1, 2021",Hannover 96,"May 31, 2025",1.10m,HNK Hajduk Split
8,https://img.a.transfermarkt.technology/portrait/medium/198613-1662876689.jpg?lm=1,Stefan Simic,Centre-Back,"Jan 20, 1995","Czech Republic, Croatia","1,89",right,"Jul 1, 2019",AC Milan,"Jun 30, 2023",500k,HNK Hajduk Split
3,https://img.a.transfermarkt.technology/portrait/medium/921533-1662876672.jpg?lm=1,Dominik Prpic,Centre-Back,"May 19, 2004",Croatia,"1,88",left,"Jul 1, 2022",HNK Hajduk Split U19,"May 31, 2025",50k,HNK Hajduk Split
44,https://img.a.transfermarkt.technology/portrait/medium/892160-1682418340.jpg?lm=1,Luka Vuskovic,Centre-Back,"Feb 24, 2007",Croatia,"1,93",right,"Feb 24, 2023",HNK Hajduk Split U19,"Jan 18, 2026",,HNK Hajduk Split
17,https://img.a.transfermarkt.technology/portrait/medium/238500-1662876663.jpg?lm=1,Dario Melnjak,Left-Back,"Oct 31, 1992",Croatia,"1,80",left,"Sep 23, 2021",Without Club,"May 31, 2024",2.50m,HNK Hajduk Split
33,https://img.a.transfermarkt.technology/portrait/medium/717882-1676842478.jpg?lm=1,Elvis Letaj,Left-Back,"Sep 26, 2003","Kosovo, Croatia","1,77",left,"Jul 1, 2022",NK Tabor Sezana,"May 31, 2025",250k,HNK Hajduk Split
24,https://img.a.transfermarkt.technology/portrait/medium/229625-1662877079.jpg?lm=1,Dino Mikanovic,Right-Back,"May 7, 1994",Croatia,"1,74",right,"Jan 28, 2022",Kairat Almaty,"May 31, 2024",1.20m,HNK Hajduk Split
26,https://img.a.transfermarkt.technology/portrait/medium/110746-1662877026.jpg?lm=1,Gergő Lovrencsics,Right-Back,"Sep 1, 1988",Hungary,"1,77",right,"Jul 5, 2021",Ferencvárosi TC,"Jun 30, 2023",250k,HNK Hajduk Split
-,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Tvrtko Buljan,Right-Back,"Jan 26, 2002",Croatia,"1,85",,"Jul 1, 2021",NK Solin,"Jun 30, 2023",50k,HNK Hajduk Split
14,https://img.a.transfermarkt.technology/portrait/medium/224871-1662876895.jpg?lm=1,Lukas Grgic,Defensive Midfield,"Aug 17, 1995","Austria, Croatia","1,83",left,"Jan 18, 2022",LASK,"May 31, 2026",1.50m,HNK Hajduk Split
6,https://img.a.transfermarkt.technology/portrait/medium/110931-1662876878.jpg?lm=1,Marco Fossati,Defensive Midfield,"Oct 5, 1992",Italy,"1,80",right,"Aug 31, 2021",AC Monza,"May 31, 2023",1.00m,HNK Hajduk Split
-,https://img.a.transfermarkt.technology/portrait/medium/641060-1628963064.jpg?lm=1,Ivan Calusic,Defensive Midfield,"Sep 12, 1999",Croatia,"1,87",right,"Jul 1, 2021",NK Radomlje,"May 31, 2025",350k,HNK Hajduk Split
-,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Niko Sigur,Defensive Midfield,"Sep 9, 2003","Canada, Croatia",,,"Apr 21, 2023",HNK Hajduk Split U19,"May 31, 2025",,HNK Hajduk Split
34,https://img.a.transfermarkt.technology/portrait/medium/921512-1645700031.JPG?lm=1,Marko Capan,Defensive Midfield,"Feb 24, 2004",Croatia,"1,80",left,"Jan 2, 2023",HNK Hajduk Split U19,"May 31, 2026",,HNK Hajduk Split
21,https://img.a.transfermarkt.technology/portrait/medium/887816-1662878472.jpg?lm=1,Rokas Pukstas,Central Midfield,"Aug 25, 2004","United States, Lithuania","1,81",right,"Jul 1, 2022",HNK Hajduk Split U19,"Jan 31, 2025",1.00m,HNK Hajduk Split
23,https://img.a.transfermarkt.technology/portrait/medium/261988-1662877804.jpg?lm=1,Filip Krovinovic,Attacking Midfield,"Aug 29, 1995",Croatia,"1,75",right,"Jul 20, 2021",SL Benfica,"May 31, 2024",5.00m,HNK Hajduk Split
11,https://img.a.transfermarkt.technology/portrait/medium/344599-1674834165.jpg?lm=1,Yassine Benrahou,Attacking Midfield,"Jan 24, 1999","Morocco, France","1,72",left,"Jan 26, 2023",Nîmes Olympique,"May 31, 2026",2.20m,HNK Hajduk Split
7,https://img.a.transfermarkt.technology/portrait/medium/303420-1662876972.jpg?lm=1,Anthony Kalik,Attacking Midfield,"Nov 5, 1997","Australia, Croatia","1,80",right,"Aug 26, 2022",HNK Gorica,"May 31, 2026",2.00m,HNK Hajduk Split
88,https://img.a.transfermarkt.technology/portrait/medium/580443-1674834024.jpg?lm=1,Ivan Cubelic,Attacking Midfield,"Jun 2, 2003",Croatia,"1,84",right,"Jul 1, 2021",NK Varazdin,"May 31, 2026",550k,HNK Hajduk Split
77,https://img.a.transfermarkt.technology/portrait/medium/403177-1662878051.jpg?lm=1,Emir Sahiti,Left Winger,"Nov 29, 1998","Kosovo, Albania","1,74",right,"Jul 1, 2021",HNK Hajduk Split II,"May 31, 2026",2.00m,HNK Hajduk Split
20,https://img.a.transfermarkt.technology/portrait/medium/860812-1676842448.jpg?lm=1,Agustin Anello,Left Winger,"Apr 22, 2002","United States, Italy","1,82",right,"Feb 13, 2023",Lommel SK,"Jun 30, 2023",350k,HNK Hajduk Split
10,https://img.a.transfermarkt.technology/portrait/medium/95438-1662878058.jpg?lm=1,Marko Livaja,Centre-Forward,"Aug 26, 1993",Croatia,"1,84",right,"Feb 18, 2021",AEK Athens,"Jun 30, 2027",8.00m,HNK Hajduk Split
29,https://img.a.transfermarkt.technology/portrait/medium/309180-1662878067.jpg?lm=1,Jan Mlakar,Centre-Forward,"Oct 23, 1998",Slovenia,"1,83",right,"Jul 12, 2021",Brighton & Hove Albion,"May 31, 2025",2.30m,HNK Hajduk Split
9,https://img.a.transfermarkt.technology/portrait/medium/36371-1662878081.jpg?lm=1,Nikola Kalinic,Centre-Forward,"Jan 5, 1988",Croatia,"1,87",both,"Feb 7, 2022",Hellas Verona,"Jun 30, 2023",600k,HNK Hajduk Split
1,https://img.a.transfermarkt.technology/portrait/medium/610190-1615921398.jpg?lm=1,Nediljko Labrovic,Goalkeeper,"Oct 10, 1999",Croatia,"1,96",right,"Jul 1, 2021",HNK Sibenik,"Jun 15, 2025",2.00m,HNK Rijeka
91,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Mislav Zadro,Goalkeeper,"Apr 22, 2003",Croatia,"1,96",,"Aug 4, 2022",GNK Dinamo Zagreb II,"Jun 15, 2025",250k,HNK Rijeka
13,https://img.a.transfermarkt.technology/portrait/medium/495320-1559159373.jpeg?lm=1,Martin Zlomislic,Goalkeeper,"Aug 16, 1998","Bosnia-Herzegovina, Croatia","1,90",right,"Jul 16, 2021",NK Siroki Brijeg,"Jun 15, 2024",150k,HNK Rijeka
31,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,David Nwolokor,Goalkeeper,"Jan 10, 1996",Nigeria,"1,86",right,"Jan 1, 2015",NK Aluminij Kidricevo,"Jun 15, 2024",50k,HNK Rijeka
6,https://img.a.transfermarkt.technology/portrait/medium/206734-1616530039.jpg?lm=1,Matej Mitrovic,Centre-Back,"Nov 10, 1993",Croatia,"1,87",right,"Jul 6, 2022",Club Brugge KV,"Jun 30, 2024",700k,HNK Rijeka
15,https://img.a.transfermarkt.technology/portrait/medium/226080-1604826856.jpg?lm=1,Anton Kresic,Centre-Back,"Jan 29, 1996",Croatia,"1,98",right,"Jul 1, 2022",Atalanta BC,"Jun 30, 2025",600k,HNK Rijeka
5,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Niko Galesic,Centre-Back,"Mar 26, 2001","Croatia, Germany","1,87",right,"Apr 17, 2020",NK Hrvatski Dragovoljac,"Jun 15, 2024",400k,HNK Rijeka
28,https://img.a.transfermarkt.technology/portrait/medium/571271-1548883414.png?lm=1,Ivan Smolcic,Centre-Back,"Aug 17, 2000",Croatia,"1,81",right,"Jul 1, 2022",NK Hrvatski Dragovoljac,"Jun 15, 2024",400k,HNK Rijeka
66,https://img.a.transfermarkt.technology/portrait/medium/80161-1605122329.jpg?lm=1,Emir Dilaver,Centre-Back,"May 7, 1991",Austria,"1,84",right,"Jan 18, 2023",GNK Dinamo Zagreb,"Jun 30, 2024",400k,HNK Rijeka
55,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Duje Dujmovic,Centre-Back,"Dec 15, 2003",Croatia,"1,88",left,"Jul 1, 2022",HNK Rijeka U19,"Jun 15, 2024",50k,HNK Rijeka
-,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Djibrilla Ibrahim,Centre-Back,"Mar 2, 2002",Niger,"1,94",right,"Jul 5, 2022",HNK Orijent Rijeka,"Jun 30, 2024",25k,HNK Rijeka
12,https://img.a.transfermarkt.technology/portrait/medium/294987-1566313933.jpg?lm=1,Andrija Vukcevic,Left-Back,"Oct 11, 1996",Montenegro,"1,80",left,"Feb 5, 2021",Waasland-Beveren,"Jun 15, 2024",700k,HNK Rijeka
3,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Bruno Goda,Left-Back,"Apr 17, 1998",Croatia,"1,82",left,"Nov 22, 2022",Without Club,"Jun 30, 2025",400k,HNK Rijeka
-,https://img.a.transfermarkt.technology/portrait/medium/231387-1600613080.png?lm=1,Mikhail Merkulov,Left-Back,"Jan 26, 1994",Russia,"1,80",left,"Jul 28, 2021",Rubin Kazan,"Jun 30, 2023",250k,HNK Rijeka
77,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Danilo Veiga,Right-Back,"Sep 25, 2002","Portugal, Brazil","1,83",right,"Jan 20, 2023",Gil Vicente FC,"Jun 30, 2025",1.50m,HNK Rijeka
32,https://img.a.transfermarkt.technology/portrait/medium/285077-1663608105.jpg?lm=1,Alen Grgic,Right-Back,"Aug 10, 1994",Croatia,"1,87",right,"Aug 26, 2022",NK Osijek,"Jun 15, 2024",350k,HNK Rijeka
2,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Filip Braut,Right-Back,"Jun 5, 2002",Croatia,"1,79",right,"Jul 1, 2022",NK Hrvatski Dragovoljac,"Jun 15, 2024",200k,HNK Rijeka
25,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Veldin Hodza,Defensive Midfield,"Oct 15, 2002",Croatia,"1,83",,"Jul 1, 2022",NK Hrvatski Dragovoljac,"Jun 15, 2025",1.00m,HNK Rijeka
23,https://img.a.transfermarkt.technology/portrait/medium/330147-1665498574.png?lm=1,Mato Stanic,Defensive Midfield,"Jan 11, 1998","Bosnia-Herzegovina, Croatia","1,84",left,"Jul 30, 2021",NK Varazdin,"Jun 30, 2025",200k,HNK Rijeka
18,https://img.a.transfermarkt.technology/portrait/medium/340172-1535648733.jpg?lm=1,Lindon Selahi,Central Midfield,"Feb 26, 1999","Albania, Belgium","1,80",right,"Jul 29, 2021",Twente Enschede FC,"Jun 30, 2024",1.60m,HNK Rijeka
22,https://img.a.transfermarkt.technology/portrait/medium/490308-1531227009.jpg?lm=1,Emmanuel Banda,Central Midfield,"Sep 29, 1997",Zambia,"1,78",left,"Jan 19, 2023",Djurgårdens IF,"Jun 30, 2025",750k,HNK Rijeka
40,https://img.a.transfermarkt.technology/portrait/medium/527968-1614584656.png?lm=1,Pablo Álvarez,Central Midfield,"Apr 23, 1997",Spain,"1,87",left,"Jul 1, 2022",Cherno More Varna,"Jun 30, 2024",450k,HNK Rijeka
8,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Adrian Liber,Central Midfield,"Jan 9, 2001",Croatia,"1,71",right,-,,"Jun 30, 2025",150k,HNK Rijeka
4,https://img.a.transfermarkt.technology/portrait/medium/403760-1647376294.png?lm=1,Niko Jankovic,Attacking Midfield,"Aug 25, 2001",Croatia,"1,86",right,"Jan 20, 2023",GNK Dinamo Zagreb,"Jan 18, 2024",600k,HNK Rijeka
-,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Karlo Valjan,Attacking Midfield,"Aug 30, 2003",Croatia,"1,85",,"Jul 1, 2022",HNK Rijeka U19,"Jun 15, 2024",,HNK Rijeka
-,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Antonio Galesic,Attacking Midfield,"Apr 15, 2003",Croatia,,,"Jul 1, 2022",HNK Rijeka U19,"Jun 15, 2024",,HNK Rijeka
44,https://img.a.transfermarkt.technology/portrait/medium/371016-1605122569.jpg?lm=1,Antonio Marin,Left Winger,"Jan 9, 2001",Croatia,"1,82",right,"Jan 18, 2023",GNK Dinamo Zagreb,"Jun 30, 2023",1.80m,HNK Rijeka
99,https://img.a.transfermarkt.technology/portrait/medium/594926-1581659626.jpg?lm=1,Näis Djouahra,Left Winger,"Nov 23, 1999","France, Algeria","1,72",right,"Aug 2, 2022",Real Sociedad B,"Jun 30, 2025",1.00m,HNK Rijeka
16,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Dominik Simcic,Left Winger,"Mar 7, 2003",Croatia,"1,77",,"Jul 1, 2022",HNK Rijeka U19,"Jun 15, 2024",50k,HNK Rijeka
11,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Prince Ampem,Right Winger,"Apr 13, 1998",Ghana,"1,69",right,"Jul 2, 2021",HNK Sibenik,"Jun 15, 2024",1.30m,HNK Rijeka
30,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Bruno Bogojevic,Right Winger,"Jun 29, 1998",Croatia,"1,79",right,"Nov 10, 2022",Without Club,"Jun 30, 2025",350k,HNK Rijeka
24,https://img.a.transfermarkt.technology/portrait/medium/840149-1667400169.jpeg?lm=1,Matija Frigan,Centre-Forward,"Feb 11, 2003",Croatia,"1,85",left,"Jul 1, 2022",HNK Rijeka U19,"Jun 15, 2025",850k,HNK Rijeka
9,https://img.a.transfermarkt.technology/portrait/medium/414773-1659553869.jpg?lm=1,Jorge Obregón,Centre-Forward,"Mar 29, 1997",Colombia,"1,82",right,"Jul 14, 2021",NK Varazdin,"Jun 15, 2024",700k,HNK Rijeka
92,https://img.a.transfermarkt.technology/portrait/medium/92989-1629734241.png?lm=1,Marco Djuricin,Centre-Forward,"Dec 12, 1992",Austria,"1,82",right,"Aug 31, 2022",Austria Vienna,"Jun 30, 2025",600k,HNK Rijeka
39,https://img.a.transfermarkt.technology/portrait/medium/407697-1619465208.jpg?lm=1,Deni Juric,Centre-Forward,"Sep 3, 1997","Australia, Croatia","1,89",right,"Jan 20, 2023",GNK Dinamo Zagreb,"Jun 30, 2023",500k,HNK Rijeka
1,https://img.a.transfermarkt.technology/portrait/medium/587505-1605121716.jpg?lm=1,Nikola Cavlina,Goalkeeper,"Jun 2, 2002",Croatia,,,"Jul 29, 2022",GNK Dinamo Zagreb II,"Jun 15, 2024",400k,NK Lokomotiva Zagreb
31,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Zvonimir Subaric,Goalkeeper,"May 25, 1997",Croatia,"1,87",,"Sep 5, 2022",NK Hrvatski Dragovoljac,"Jun 15, 2024",250k,NK Lokomotiva Zagreb
12,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Krunoslav Hendija,Goalkeeper,"Mar 19, 1989",Croatia,"1,94",right,"Aug 31, 2017",NK Rudes,"Jun 30, 2023",50k,NK Lokomotiva Zagreb
32,https://img.a.transfermarkt.technology/portrait/medium/50346-1547062403.jpg?lm=1,Krsevan Santini,Goalkeeper,"Apr 11, 1987",Croatia,"1,89",right,"Dec 31, 2020",Without Club,"Jun 15, 2023",50k,NK Lokomotiva Zagreb
5,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Jon Mersinaj,Centre-Back,"Feb 8, 1999",Albania,"1,83",right,"Jul 1, 2018",NK Lokomotiva Zagreb U19,"Jun 15, 2025",800k,NK Lokomotiva Zagreb
16,https://img.a.transfermarkt.technology/portrait/medium/420196-1605471356.jpg?lm=1,Justin de Haas,Centre-Back,"Feb 1, 2000",Netherlands,"1,94",left,"Jul 7, 2021",PSV Eindhoven U21,"Jun 15, 2024",750k,NK Lokomotiva Zagreb
6,https://img.a.transfermarkt.technology/portrait/medium/256942-1599923976.jpg?lm=1,Hajdin Salihu,Centre-Back,"Jan 18, 2002","Albania, Kosovo","1,88",right,"Jul 9, 2021",FC Llapi,"Jun 15, 2023",100k,NK Lokomotiva Zagreb
20,https://img.a.transfermarkt.technology/portrait/medium/293180-1537438570.jpg?lm=1,Branimir Kalaica,Centre-Back,"Jun 1, 1998",Croatia,"1,92",right,"Jan 19, 2023",Without Club,"Jun 15, 2024",100k,NK Lokomotiva Zagreb
17,https://img.a.transfermarkt.technology/portrait/medium/466452-1616334860.jpg?lm=1,Ivan Milicevic,Left-Back,"Jul 16, 1998","Bosnia-Herzegovina, Croatia","1,83",left,"Jul 20, 2018",NK Siroki Brijeg,"Jun 15, 2024",1.00m,NK Lokomotiva Zagreb
19,https://img.a.transfermarkt.technology/portrait/medium/45826-1523610127.jpg?lm=1,Josip Pivaric,Left-Back,"Jan 30, 1989",Croatia,"1,75",left,"Oct 1, 2020",Dynamo Kyiv,"Jun 15, 2023",500k,NK Lokomotiva Zagreb
3,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Fran Zilinski,Left-Back,"Apr 4, 2003",Croatia,,,"Jul 1, 2022",NK Lokomotiva Zagreb U19,"Jun 15, 2024",150k,NK Lokomotiva Zagreb
24,https://img.a.transfermarkt.technology/portrait/medium/519782-1614458126.jpeg?lm=1,Branimir Cipetic,Right-Back,"May 24, 1995","Bosnia-Herzegovina, Croatia","1,84",right,"Jan 20, 2021",NK Siroki Brijeg,"Jun 15, 2024",450k,NK Lokomotiva Zagreb
27,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Marko Vranjkovic,Right-Back,"Feb 5, 1999",Croatia,"1,85",right,-,,"Jun 15, 2024",350k,NK Lokomotiva Zagreb
14,https://img.a.transfermarkt.technology/portrait/medium/455494-1603481951.jpg?lm=1,Mateo Maric,Defensive Midfield,"Mar 18, 1998","Bosnia-Herzegovina, Croatia","1,78",right,"Jan 21, 2021",NK Siroki Brijeg,"Jun 15, 2025",1.30m,NK Lokomotiva Zagreb
18,https://img.a.transfermarkt.technology/portrait/medium/370959-1630240510.jpg?lm=1,Marko Hanuljak,Defensive Midfield,"Jan 31, 2000",Croatia,"1,81",right,"Feb 16, 2023",HSK Posusje,"Jun 15, 2024",300k,NK Lokomotiva Zagreb
15,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Art Smakaj,Defensive Midfield,"Feb 4, 2003","Kosovo, Croatia",,,"Jul 1, 2022",NK Lokomotiva Zagreb U19,"Jun 15, 2024",250k,NK Lokomotiva Zagreb
29,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Vladan Bubanja,Defensive Midfield,"Feb 21, 1999",Montenegro,"1,94",right,"Jul 14, 2022",FK Sutjeska Niksic,"Jun 15, 2026",250k,NK Lokomotiva Zagreb
13,https://img.a.transfermarkt.technology/portrait/medium/602906-1603481393.jpg?lm=1,Blaz Boskovic,Defensive Midfield,"Dec 15, 2001","Bosnia-Herzegovina, Croatia",,right,"Jul 14, 2022",HSK Zrinjski Mostar,"Jun 15, 2026",200k,NK Lokomotiva Zagreb
